Degrees,Label,Type,Significance
7,Octavia,Woman,"Daughter of Claudius, married Nero in the consulship of Decimus Junius and Quintus Haterus. Also sister to Britannicus and step-sister to Nero."
1,Ostia,Place,Cladius was on a prolonged stay in…
7,Pallas,Man,Nero revoked the responsibilities given to Pallas by Claudius.
1,People of Cos,Group,Group for which Claudius advocated tax exemption.
2,Phoenicians,Group,Phoenicians
2,Poison,Thing,Used as a weapon to kill many
5,Political Murder,Thing,Ways that a political actor may usurp power.
1,Pomerium,Place,Expanded under the rule of Claudius
3,Poppaea,Woman,former lover of valerius asiaticus
1,Praetorian Guard,Group,Bodyguards to the Imperial family
2,Publius Celer,Man,Roman knight.
2,Publius Clodius,Man,Senator
1,Publius Pompeius,Man,13.24
4,Quadratus Ummidius,Man,Governor of Syria
3,Quaestor,Group,"Elected position, who’s function is to supervise military finance"
1,Quintus Veranius,Man,Consul of Rome
1,Roman Law,Thing,Law
1,Roman Military,Group,Guardians of Empire/Republic
1,Samius,Man,Roman Knight
1,Secular Games,Event,"First put on by Augustus, now Claudius."
,Sextius Africanus,Man,Young Roman Nobleman
1,Sinuessa,Place,Narcissus went there when he fell ill to stress.
7,Sosibius,Man,tutored britanicus
2,Statilius Taurus,Man,"“Destroyed” by Agrippina because she coveted his gardens, accused by Tarquitius Priscus, wealthy, proconsul in Africa."
1,Students in this class,Group,It’s us.
1,Suicide,Event,
,Suicide,Event,We feel this speaks for itself
6,Suillius,Man,Senator
2,Syria,Place,governed by Quadratus Ummidius
1,Tacitus,Man,Author of the source
2,Tarquitius Priscus,Man,Accuser and legate of Statilius Taurus
3,The Egyptians,Group,Group of influential people
2,The Gallic Tribes,Group,A Celtic Group of Peoples who lived in Gaul (modern-day France)
1,The Greek People,Group,They were people and they were Greek
1,The Roman Officers,Group,Their favor caused friction between generals. Left to decide which General they supported more.
5,The Roman People,Group,"The population of Rome (shocking, I know)"
13,The Senate,Group,Advising body. AD 53: Received an appeal from the people of Byzantium to releive their heavy tax burden.
1,Titius Proculus,Man,Guardian for Messalina appointed by Silius. Claudius eventually ordered him to be executed.
1,Turranius,Man,Prefect of the grain supply
2,Tutors,Group,Tutors for Britannicus
2,Ubii,Group,"The main town of a tribe where Agrippina was born, and Agrippa had taken the area under roman protection"
6,Valerius Asiaticus,Man,former lover of poppaea
2,Valerius Potitus,Man,One of two Quaestors first elected
1,Vipstanus,Man,Consul
8,Vitellius,Man,Censor
2,Xenophon,Man,Claudius’ doctor
1,scipio,Man,poppaea’s husband
2,senate awards funds,Event,money is awarded by the senate to those who advised claudius
